Date,BTC Closing Value
"Nov 26, 2021","48,144.83"
"Nov 25, 2021","52,571.34"
"Nov 24, 2021","51,062.29"
"Nov 23, 2021","51,188.46"
"Nov 22, 2021","50,071.63"
"Nov 21, 2021","52,087.06"
"Nov 20, 2021","52,889.75"
"Nov 19, 2021","51,492.03"
"Nov 18, 2021","50,086.53"
"Nov 17, 2021","53,339.00"
"Nov 16, 2021","53,146.45"
